Episode;Total_Rewards
0;41.0
1;21.0
2;28.0
3;31.0
4;26.0
5;36.0
6;31.0
7;29.0
8;28.0
9;29.0
10;40.0
11;24.0
12;37.0
13;20.0
14;41.0
15;41.0
16;26.0
17;27.0
18;23.0
19;45.0
20;37.0
21;23.0
22;28.0
23;20.0
24;24.0
25;23.0
26;35.0
27;34.0
28;24.0
29;41.0
30;34.0
31;20.0
32;14.0
33;40.0
34;35.0
35;40.0
36;23.0
37;38.0
38;15.0
39;36.0
40;32.0
41;40.0
42;29.0
43;21.0
44;40.0
45;34.0
46;34.0
47;35.0
48;33.0
49;46.0
50;28.0
51;28.0
52;41.0
53;27.0
54;21.0
55;28.0
56;29.0
57;34.0
58;50.0
59;15.0
60;27.0
61;24.0
62;26.0
63;29.0
64;20.0
65;30.0
66;30.0
67;42.0
68;31.0
69;39.0
70;44.0
71;27.0
72;40.0
73;20.0
74;24.0
75;34.0
76;26.0
77;29.0
78;49.0
79;40.0
80;26.0
81;36.0
82;40.0
83;41.0
84;23.0
85;38.0
86;37.0
87;30.0
88;24.0
89;25.0
90;30.0
91;28.0
92;38.0
93;27.0
94;23.0
95;27.0
96;14.0
97;26.0
98;27.0
99;30.0
