Episode;Total_Rewards
0;13.0
1;3.0
2;7.0
3;24.0
4;7.0
5;10.0
6;2.0
7;3.0
8;2.0
9;-2.0
10;-1.0
11;-1.0
12;-2.0
13;-3.0
14;-2.0
15;8.0
16;3.0
17;9.0
18;-1.0
19;-1.0
20;1.0
21;0.0
22;0.0
23;-2.0
24;-1.0
25;-1.0
26;-1.0
27;-1.0
28;-1.0
29;-2.0
30;10.0
31;-2.0
32;-1.0
33;-1.0
34;0.0
35;-2.0
36;0.0
37;-2.0
38;-2.0
39;-1.0
40;13.0
41;-2.0
42;-2.0
43;-2.0
44;1.0
45;1.0
46;-1.0
47;-2.0
48;-2.0
49;2.0
50;0.0
51;-1.0
52;-3.0
53;-3.0
54;0.0
55;-2.0
56;9.0
57;-2.0
58;-2.0
59;-1.0
60;0.0
61;16.0
62;-1.0
63;0.0
64;-1.0
65;1.0
66;12.0
67;-2.0
68;-1.0
69;-3.0
70;0.0
71;-2.0
72;-1.0
73;-1.0
74;-2.0
75;-2.0
76;-2.0
77;0.0
78;11.0
79;-2.0
80;-2.0
81;-2.0
82;-2.0
83;18.0
84;-2.0
85;15.0
86;-2.0
87;-1.0
88;-2.0
89;5.0
90;-1.0
91;0.0
92;-1.0
93;1.0
94;-2.0
95;-3.0
96;-2.0
97;0.0
98;-2.0
99;-1.0
100;-1.0
101;-1.0
102;2.0
103;11.0
104;-3.0
105;-1.0
106;0.0
107;-1.0
108;0.0
109;-3.0
110;27.0
111;-1.0
112;-3.0
113;-2.0
114;5.0
115;10.0
116;-1.0
117;-2.0
118;-1.0
119;-3.0
120;2.0
121;4.0
122;0.0
123;-1.0
124;-1.0
125;-3.0
126;-2.0
127;-2.0
128;-1.0
129;-2.0
130;-1.0
131;-1.0
132;-2.0
133;-1.0
134;-2.0
135;-1.0
136;-1.0
137;-1.0
138;-1.0
139;6.0
140;0.0
141;-1.0
142;-2.0
143;-1.0
144;2.0
145;-2.0
146;-1.0
147;0.0
148;-1.0
149;-2.0
150;0.0
151;-1.0
152;40.0
153;-2.0
154;-3.0
155;-2.0
156;15.0
157;-3.0
158;0.0
159;-2.0
160;8.0
161;-2.0
162;-1.0
163;4.0
164;-2.0
165;-2.0
166;-2.0
167;-1.0
168;-1.0
169;-1.0
170;15.0
171;-1.0
172;1.0
173;-1.0
174;-1.0
175;0.0
176;-1.0
177;-3.0
178;-1.0
179;-1.0
180;-2.0
181;-2.0
182;-1.0
183;-2.0
184;3.0
185;7.0
186;8.0
187;-1.0
188;-2.0
189;-2.0
190;-2.0
191;-2.0
192;0.0
193;-2.0
194;-2.0
195;1.0
196;-2.0
197;1.0
198;1.0
199;8.0
200;7.0
201;4.0
202;0.0
203;-1.0
204;-1.0
205;-1.0
206;-3.0
207;-2.0
208;-2.0
209;-2.0
210;-2.0
211;1.0
212;-2.0
213;-1.0
214;-3.0
215;0.0
216;-1.0
217;-1.0
218;0.0
219;-1.0
220;-1.0
221;-1.0
222;-2.0
223;-2.0
224;-1.0
225;-1.0
226;-2.0
227;-1.0
228;-2.0
229;-1.0
230;-2.0
231;0.0
232;1.0
233;-2.0
234;14.0
235;-1.0
236;12.0
237;0.0
238;-1.0
239;12.0
240;-2.0
241;-3.0
242;-1.0
243;-2.0
244;1.0
245;12.0
246;-3.0
