Episode;Total_Rewards
0;18.0
1;0.0
2;20.0
3;2.0
4;9.0
5;3.0
6;13.0
7;16.0
8;2.0
9;17.0
10;1.0
11;-2.0
12;10.0
13;3.0
14;19.0
15;57.0
16;14.0
17;10.0
18;21.0
19;6.0
20;9.0
21;18.0
22;16.0
23;13.0
24;12.0
25;4.0
26;31.0
27;3.0
28;3.0
29;3.0
30;8.0
31;2.0
32;3.0
33;21.0
34;16.0
35;50.0
36;15.0
37;17.0
38;7.0
39;9.0
40;3.0
41;3.0
42;62.0
43;8.0
44;6.0
45;54.0
46;56.0
47;1.0
48;8.0
49;47.0
50;43.0
51;0.0
52;2.0
53;78.0
54;2.0
55;22.0
56;38.0
57;54.0
58;7.0
59;18.0
60;37.0
61;55.0
62;49.0
63;8.0
64;0.0
65;18.0
66;3.0
67;13.0
68;100.0
69;30.0
70;23.0
71;18.0
72;5.0
73;20.0
74;45.0
75;17.0
76;1.0
77;-1.0
78;2.0
79;39.0
80;4.0
81;-1.0
82;-1.0
83;14.0
84;1.0
85;22.0
86;1.0
87;4.0
88;13.0
89;16.0
90;2.0
91;82.0
92;13.0
93;1.0
94;32.0
95;78.0
96;2.0
97;64.0
98;70.0
99;33.0
100;23.0
101;1.0
102;8.0
103;27.0
104;3.0
105;33.0
106;8.0
107;3.0
108;61.0
109;19.0
110;0.0
111;1.0
112;96.0
113;2.0
114;17.0
115;12.0
116;90.0
117;54.0
118;6.0
119;9.0
120;74.0
121;61.0
122;1.0
123;1.0
124;38.0
125;39.0
126;34.0
127;50.0
128;2.0
129;63.0
130;70.0
131;57.0
132;-1.0
133;95.0
134;-1.0
135;68.0
136;121.0
137;107.0
138;32.0
139;104.0
140;74.0
141;101.0
142;48.0
143;77.0
144;4.0
145;91.0
146;2.0
147;95.0
148;86.0
149;86.0
150;106.0
151;107.0
152;19.0
153;112.0
154;34.0
155;115.0
156;39.0
157;88.0
158;99.0
159;-1.0
160;2.0
161;30.0
162;56.0
163;92.0
164;13.0
165;99.0
166;43.0
167;91.0
168;103.0
169;47.0
170;88.0
171;45.0
172;0.0
173;74.0
174;103.0
175;142.0
176;119.0
177;97.0
178;78.0
179;126.0
180;56.0
181;96.0
182;89.0
183;101.0
184;102.0
185;58.0
186;52.0
187;31.0
188;110.0
189;97.0
190;1.0
191;-1.0
192;102.0
193;107.0
194;49.0
195;63.0
196;101.0
197;45.0
198;38.0
199;71.0
200;4.0
201;3.0
202;32.0
203;32.0
204;2.0
205;42.0
206;86.0
207;0.0
208;107.0
209;94.0
210;93.0
211;88.0
212;121.0
213;85.0
214;102.0
215;76.0
216;23.0
217;16.0
218;2.0
219;94.0
220;132.0
221;3.0
222;29.0
223;90.0
224;104.0
225;96.0
226;89.0
227;101.0
228;86.0
229;25.0
230;57.0
231;98.0
232;107.0
233;45.0
234;101.0
235;101.0
236;94.0
237;122.0
238;88.0
239;47.0
240;91.0
241;86.0
242;95.0
243;106.0
244;30.0
245;91.0
246;97.0
247;116.0
248;89.0
249;4.0
250;49.0
251;95.0
252;84.0
253;47.0
254;89.0
255;102.0
256;102.0
257;109.0
258;55.0
259;87.0
260;93.0
261;172.0
262;91.0
263;93.0
264;49.0
265;64.0
266;55.0
267;109.0
268;29.0
269;103.0
270;48.0
271;133.0
272;119.0
273;89.0
274;99.0
275;92.0
276;96.0
277;81.0
278;94.0
279;50.0
280;71.0
281;25.0
282;92.0
283;2.0
284;93.0
285;78.0
286;91.0
287;87.0
288;87.0
289;27.0
290;41.0
291;110.0
292;23.0
293;98.0
294;97.0
295;34.0
296;30.0
297;23.0
298;1.0
299;67.0
300;28.0
301;46.0
302;79.0
303;52.0
304;122.0
305;108.0
306;53.0
307;111.0
308;57.0
309;51.0
310;46.0
311;27.0
312;117.0
313;112.0
314;104.0
315;133.0
316;101.0
317;122.0
318;30.0
319;25.0
320;111.0
321;96.0
322;117.0
323;114.0
324;123.0
325;121.0
326;92.0
