Episode;Steps;Total_Rewards
1;90;-130.82124952536276
2;107;-57.05318581856823
3;130;-277.01320150538305
4;59;-302.62704752204337
5;999;-20.817729001460336
6;999;-24.516767211202712
7;838;84.0013991446207
8;507;-159.98158324828336
9;92;-246.2731448779458
10;228;-135.45919418490834
11;561;158.74360855881554
12;484;-262.7125312139377
13;417;-75.67620654272379
14;806;-154.17699871355575
15;366;-97.87143538470201
16;527;-70.47391490222262
17;360;-140.59838334785758
18;656;109.50364999365033
19;313;-125.38608747753871
20;499;-194.0718385311313
21;262;-92.14590610468457
22;244;-131.2031083921841
23;416;-124.17301417806443
24;593;-244.64851125679618
25;480;-181.61534025060496
26;438;-191.439092587564
27;755;-325.2713214465542
28;999;-117.93012568547881
29;660;-73.29448577107243
30;165;-341.88052162834276
31;999;-4.943360097350911
32;999;-14.700341423960463
33;999;-21.87454277792169
34;511;-349.7592015753177
35;999;15.269428778331497
36;999;-69.96388807440579
37;256;-34.71889635934957
38;999;-24.986777552576115
39;999;-19.87618923577342
40;694;165.4335929232048
41;991;-303.75569401029907
42;906;119.76116929224798
43;719;78.42486013436954
44;264;219.40513126015273
45;999;-79.8737797680626
46;183;-296.5485287729654
47;185;-172.17233074521027
48;805;119.47333305499609
49;485;-93.71894257494654
50;846;-273.6198272634415
51;847;127.48104570529861
52;208;52.02992020297884
53;608;176.06745883971885
54;886;127.9440354011969
55;688;166.3484503598675
56;259;-19.18296741143915
57;999;-36.13547787434912
58;853;146.9105301538221
59;999;8.744560668135797
60;610;-126.29126386323705
61;999;-8.163163570289928
62;459;-104.08147034084261
63;999;-112.77772303942172
64;133;-60.84958047116063
65;115;-72.44956584727343
66;221;-263.5635465939098
67;148;-119.59792466158851
68;134;-72.90573852513958
69;548;-74.93460105600538
70;999;-8.786264089466812
71;113;-58.91127544005805
72;999;-53.79809147673956
73;999;-41.961782102592665
74;343;178.1006071650653
75;999;-18.749226989928015
76;226;34.57977147150521
77;243;-58.59629410203985
78;999;-43.87968949147584
79;869;171.82695208204677
80;542;222.72038367138805
81;885;109.18784364349025
82;602;191.12398927438088
83;117;-178.58686856969044
84;474;189.2317407433793
85;538;176.04028864301256
86;999;-30.80690930561148
87;999;-43.815250986655826
88;554;211.44927825496214
89;313;205.9110723277209
90;268;291.47668467177306
91;999;-41.02349612827993
92;433;268.6578478182778
93;115;-180.5930153621314
94;999;6.315867934689915
95;113;-230.25463673082123
96;999;-23.17982392164784
97;314;-81.68697410186749
98;83;-161.79819285142975
99;500;157.4207395531999
100;521;164.52546605210824
101;251;250.54057427246826
102;567;127.13433718260998
103;327;263.0440093895653
104;272;9.99428865357973
105;604;182.03091794646247
106;999;-31.12576055187663
107;300;297.9722045924426
108;94;7.233899483194776
109;409;-189.86566541240563
110;999;-23.589848438384053
111;999;-44.817606256395585
112;999;-19.339032229873474
113;97;-62.079954295346795
114;373;188.27826339820177
115;454;105.54916315470749
116;357;-21.377573634576223
117;214;-25.683975863737132
118;253;236.5190691405927
119;168;-121.73744527515392
120;652;128.7936798922184
121;364;215.5751789768617
122;148;-3.9103682160544224
123;167;-166.9332271283069
124;334;271.2200182166836
125;541;211.3590159014627
126;920;111.21886767280493
127;132;-160.8748173725338
128;212;-9.24796221516192
129;235;212.241182823205
130;999;-64.61563678139098
131;601;187.63778095126764
132;585;195.30905858614062
133;789;136.57818222349334
134;83;-207.4450181367406
135;575;172.9764033906406
136;295;262.8397023152702
137;116;-107.50137307467776
138;526;193.3064708792511
139;367;194.8582919246227
140;999;-1.68436098990649
141;682;156.03263628200534
