Episode;Total_Rewards
0;6.0
1;15.0
2;14.0
3;7.0
4;21.0
5;26.0
6;8.0
7;20.0
8;7.0
9;3.0
10;28.0
11;4.0
12;2.0
13;4.0
14;5.0
15;3.0
16;10.0
17;25.0
18;61.0
19;11.0
20;28.0
21;29.0
22;0.0
23;3.0
24;2.0
25;41.0
26;8.0
27;8.0
28;1.0
29;5.0
30;-3.0
31;-1.0
32;6.0
33;1.0
34;6.0
35;0.0
36;29.0
37;2.0
38;-1.0
39;2.0
40;4.0
41;1.0
42;2.0
43;5.0
44;1.0
45;-1.0
46;3.0
47;11.0
48;6.0
49;-1.0
50;0.0
51;2.0
52;-1.0
53;0.0
54;4.0
55;3.0
56;-2.0
57;0.0
58;9.0
59;16.0
60;4.0
61;0.0
62;0.0
63;19.0
64;4.0
65;-1.0
66;1.0
67;-1.0
68;21.0
69;-1.0
70;0.0
71;-1.0
72;4.0
73;-1.0
74;1.0
75;0.0
76;2.0
77;-1.0
78;-1.0
79;3.0
80;-1.0
81;0.0
82;-1.0
83;-2.0
84;-1.0
85;0.0
86;-2.0
87;5.0
88;-2.0
89;-2.0
90;-1.0
91;-1.0
92;17.0
93;0.0
94;-1.0
95;-1.0
96;-2.0
97;1.0
98;2.0
99;-3.0
100;-1.0
101;-2.0
102;0.0
103;-1.0
104;5.0
105;-1.0
106;-2.0
107;5.0
108;0.0
109;-2.0
110;-1.0
111;-1.0
112;-1.0
113;-2.0
114;1.0
115;-3.0
116;1.0
117;-1.0
118;-1.0
119;2.0
120;-2.0
121;-1.0
122;0.0
123;0.0
124;5.0
125;-2.0
126;1.0
127;-1.0
128;-2.0
129;-1.0
130;-2.0
131;-3.0
132;-2.0
133;-1.0
134;-1.0
135;-2.0
136;-2.0
137;-3.0
138;1.0
139;1.0
140;1.0
141;1.0
142;-1.0
143;-1.0
144;-1.0
145;8.0
146;0.0
147;-1.0
148;-1.0
149;0.0
150;-2.0
151;1.0
152;-3.0
153;0.0
154;-2.0
155;-1.0
156;-2.0
157;-3.0
158;-1.0
159;-1.0
160;-2.0
161;-2.0
162;-1.0
163;0.0
164;1.0
165;-3.0
166;-1.0
167;1.0
168;-2.0
169;5.0
170;-2.0
171;0.0
172;-2.0
173;-1.0
174;-1.0
175;-2.0
176;-1.0
177;-2.0
178;-2.0
179;-1.0
180;-1.0
181;-2.0
182;4.0
183;-2.0
184;-1.0
185;2.0
186;17.0
187;-1.0
188;-2.0
189;-2.0
190;11.0
191;-1.0
192;-2.0
193;-1.0
194;0.0
195;-1.0
196;1.0
197;-2.0
198;-3.0
199;-3.0
200;-1.0
201;-1.0
202;-2.0
203;-1.0
204;1.0
205;0.0
206;-1.0
207;4.0
208;0.0
209;4.0
210;-1.0
211;16.0
212;3.0
213;-1.0
214;-2.0
215;9.0
216;2.0
217;0.0
218;-1.0
219;-2.0
220;-1.0
221;-1.0
222;-2.0
223;-1.0
224;-1.0
225;-1.0
226;-2.0
227;-2.0
228;2.0
