Episode;Total_Rewards
0;24.0
1;13.0
2;39.0
3;15.0
4;6.0
5;9.0
6;18.0
7;7.0
8;46.0
9;13.0
10;5.0
11;8.0
12;20.0
13;-2.0
14;1.0
15;-1.0
16;3.0
17;2.0
18;4.0
19;18.0
20;14.0
21;15.0
22;6.0
23;3.0
24;0.0
25;5.0
26;68.0
27;1.0
28;19.0
29;5.0
30;-1.0
31;4.0
32;55.0
33;18.0
34;2.0
35;7.0
36;44.0
37;32.0
38;0.0
39;13.0
40;-2.0
41;12.0
42;6.0
43;0.0
44;2.0
45;8.0
46;42.0
47;-2.0
48;2.0
49;40.0
50;20.0
51;33.0
52;4.0
53;12.0
54;14.0
55;29.0
56;5.0
57;4.0
58;-2.0
59;3.0
60;9.0
61;3.0
62;32.0
63;10.0
64;7.0
65;13.0
66;15.0
67;3.0
68;4.0
69;1.0
70;-1.0
71;1.0
72;10.0
73;0.0
74;-1.0
75;-2.0
76;22.0
77;43.0
78;17.0
79;27.0
80;10.0
81;22.0
82;4.0
83;11.0
84;7.0
85;5.0
86;27.0
87;2.0
88;20.0
89;-2.0
90;27.0
91;2.0
92;2.0
93;14.0
94;20.0
95;-1.0
96;1.0
97;6.0
98;2.0
99;1.0
100;4.0
101;25.0
102;14.0
103;-2.0
104;1.0
105;24.0
106;5.0
107;13.0
108;3.0
109;5.0
110;1.0
111;4.0
112;6.0
113;11.0
114;12.0
115;4.0
116;9.0
117;12.0
118;3.0
119;-1.0
120;11.0
121;10.0
122;23.0
123;3.0
124;1.0
125;6.0
126;15.0
127;15.0
128;19.0
129;1.0
130;12.0
131;7.0
132;15.0
133;8.0
134;6.0
135;0.0
136;14.0
137;4.0
138;13.0
139;38.0
140;8.0
141;2.0
142;18.0
143;2.0
144;2.0
145;0.0
146;8.0
147;5.0
148;10.0
149;2.0
150;2.0
151;4.0
152;1.0
153;10.0
154;28.0
155;3.0
156;3.0
157;9.0
158;8.0
159;23.0
160;2.0
161;12.0
162;18.0
163;3.0
164;6.0
165;33.0
166;10.0
167;1.0
168;3.0
169;5.0
170;17.0
171;0.0
172;3.0
173;-1.0
174;10.0
175;1.0
176;44.0
177;1.0
178;1.0
179;33.0
180;5.0
181;11.0
182;17.0
183;13.0
184;2.0
185;42.0
186;51.0
187;50.0
188;3.0
189;5.0
190;8.0
191;24.0
192;17.0
193;3.0
194;17.0
195;9.0
196;10.0
197;29.0
198;24.0
199;41.0
200;15.0
201;11.0
202;29.0
203;0.0
204;17.0
205;17.0
206;10.0
207;0.0
208;12.0
209;8.0
210;1.0
211;5.0
212;9.0
213;3.0
214;11.0
215;40.0
216;1.0
217;13.0
218;8.0
219;9.0
220;4.0
221;3.0
222;4.0
223;22.0
224;28.0
225;16.0
226;-2.0
227;2.0
228;23.0
229;31.0
230;6.0
231;10.0
232;22.0
233;28.0
234;8.0
235;0.0
236;60.0
237;0.0
238;0.0
239;13.0
240;0.0
241;25.0
242;2.0
243;1.0
244;10.0
245;18.0
246;21.0
247;18.0
248;41.0
249;23.0
250;2.0
251;12.0
252;12.0
253;11.0
254;19.0
255;6.0
256;1.0
257;0.0
258;-1.0
259;14.0
260;6.0
261;13.0
262;7.0
263;25.0
264;-1.0
265;16.0
266;3.0
267;5.0
268;1.0
269;13.0
270;4.0
271;17.0
272;16.0
273;2.0
274;23.0
275;0.0
276;5.0
277;14.0
278;12.0
279;3.0
280;2.0
281;32.0
282;31.0
283;-2.0
284;19.0
285;27.0
286;16.0
287;-1.0
288;10.0
289;4.0
290;9.0
291;3.0
292;7.0
293;4.0
294;5.0
295;16.0
296;4.0
297;9.0
298;3.0
299;16.0
300;19.0
301;10.0
302;19.0
303;34.0
304;6.0
305;6.0
306;19.0
307;16.0
308;19.0
309;0.0
310;7.0
311;3.0
312;7.0
313;10.0
314;35.0
315;10.0
316;26.0
317;9.0
318;11.0
319;56.0
320;3.0
321;28.0
322;7.0
323;4.0
324;19.0
325;36.0
326;13.0
327;5.0
328;7.0
329;2.0
330;19.0
331;9.0
332;28.0
333;9.0
334;12.0
335;10.0
336;21.0
337;17.0
338;5.0
339;-1.0
340;7.0
341;9.0
342;32.0
343;2.0
344;4.0
345;1.0
346;8.0
347;34.0
348;5.0
349;2.0
350;7.0
351;14.0
352;8.0
353;20.0
354;1.0
355;4.0
356;6.0
357;5.0
358;8.0
359;21.0
360;25.0
361;0.0
362;4.0
363;23.0
364;27.0
365;3.0
366;15.0
367;43.0
368;4.0
369;3.0
370;1.0
371;4.0
372;12.0
373;0.0
374;5.0
375;16.0
376;11.0
377;4.0
378;7.0
379;16.0
380;28.0
381;16.0
382;9.0
383;5.0
384;21.0
385;8.0
386;6.0
387;18.0
388;-1.0
389;-2.0
390;10.0
391;2.0
392;14.0
393;1.0
394;21.0
395;1.0
396;36.0
397;7.0
398;2.0
399;5.0
400;2.0
401;22.0
402;2.0
403;4.0
404;1.0
405;4.0
406;1.0
407;10.0
408;10.0
409;28.0
410;24.0
411;2.0
412;2.0
413;2.0
414;2.0
415;8.0
416;61.0
417;30.0
418;3.0
419;12.0
420;19.0
421;-1.0
422;13.0
423;62.0
424;1.0
425;5.0
426;13.0
427;6.0
428;13.0
429;21.0
430;0.0
431;2.0
432;-1.0
433;4.0
434;8.0
435;5.0
436;29.0
437;6.0
438;23.0
439;7.0
440;-1.0
441;7.0
442;1.0
443;1.0
444;6.0
445;5.0
446;0.0
447;12.0
448;-2.0
449;1.0
450;20.0
451;20.0
452;1.0
453;3.0
454;8.0
455;36.0
456;10.0
457;19.0
458;5.0
459;4.0
460;8.0
461;16.0
462;13.0
463;18.0
464;4.0
465;4.0
466;4.0
467;3.0
468;-1.0
469;6.0
470;11.0
471;13.0
472;7.0
473;6.0
474;-1.0
475;5.0
476;2.0
477;8.0
478;18.0
479;9.0
480;5.0
481;2.0
482;41.0
483;6.0
484;13.0
485;-2.0
486;8.0
487;36.0
488;6.0
489;13.0
490;5.0
491;25.0
492;22.0
493;7.0
494;28.0
495;22.0
496;18.0
497;7.0
498;6.0
499;42.0
500;4.0
501;8.0
502;4.0
503;42.0
504;0.0
505;-2.0
506;-2.0
507;5.0
508;18.0
509;9.0
510;33.0
511;20.0
512;3.0
513;4.0
514;10.0
515;6.0
516;3.0
517;13.0
518;6.0
519;1.0
520;1.0
521;9.0
522;3.0
523;7.0
524;6.0
525;0.0
526;-1.0
527;3.0
528;9.0
529;11.0
530;13.0
531;1.0
532;-2.0
533;2.0
534;4.0
535;2.0
536;23.0
537;-1.0
538;15.0
539;9.0
540;0.0
541;19.0
542;18.0
543;25.0
544;13.0
545;13.0
546;1.0
547;13.0
548;16.0
549;-1.0
550;9.0
551;1.0
552;1.0
553;8.0
554;8.0
555;32.0
556;1.0
557;40.0
558;2.0
559;0.0
560;8.0
561;41.0
562;1.0
563;25.0
564;9.0
565;5.0
566;3.0
567;8.0
568;3.0
569;27.0
570;7.0
571;15.0
572;28.0
573;5.0
574;9.0
575;6.0
576;0.0
577;2.0
578;-1.0
579;5.0
580;2.0
581;18.0
582;10.0
583;36.0
584;4.0
585;8.0
586;6.0
587;21.0
588;9.0
589;29.0
590;1.0
591;19.0
592;9.0
593;-2.0
594;4.0
595;1.0
596;34.0
597;28.0
598;5.0
599;17.0
600;13.0
601;9.0
602;2.0
603;16.0
604;-1.0
605;15.0
606;1.0
607;9.0
608;3.0
609;8.0
610;-1.0
611;2.0
612;3.0
613;0.0
614;17.0
615;6.0
616;7.0
617;12.0
618;6.0
619;5.0
620;0.0
621;4.0
622;17.0
623;30.0
624;6.0
625;1.0
626;6.0
627;33.0
628;-1.0
629;3.0
630;7.0
631;2.0
632;8.0
633;4.0
634;12.0
635;-1.0
636;59.0
637;18.0
638;16.0
639;3.0
640;11.0
641;36.0
642;7.0
643;9.0
644;16.0
645;14.0
646;4.0
647;0.0
648;1.0
649;12.0
650;9.0
651;6.0
652;0.0
653;1.0
654;14.0
655;12.0
656;2.0
657;51.0
658;33.0
659;19.0
660;11.0
661;25.0
662;5.0
663;14.0
664;12.0
665;29.0
666;3.0
667;4.0
668;6.0
669;11.0
670;3.0
671;20.0
672;20.0
673;6.0
674;1.0
675;-2.0
676;2.0
677;23.0
678;20.0
679;17.0
680;14.0
681;-3.0
682;23.0
683;13.0
684;0.0
685;17.0
686;5.0
687;1.0
688;9.0
689;5.0
690;6.0
691;2.0
692;27.0
693;23.0
694;11.0
695;0.0
696;2.0
697;13.0
698;3.0
699;7.0
700;9.0
701;16.0
702;4.0
703;17.0
704;-3.0
705;7.0
706;1.0
707;22.0
708;26.0
709;-2.0
710;21.0
711;0.0
712;10.0
713;4.0
714;4.0
715;10.0
716;3.0
717;38.0
718;12.0
719;78.0
720;11.0
721;4.0
722;3.0
723;10.0
724;8.0
725;4.0
726;20.0
727;1.0
728;4.0
729;14.0
730;29.0
731;2.0
732;4.0
733;15.0
734;3.0
735;3.0
736;14.0
737;45.0
738;11.0
739;0.0
740;11.0
741;3.0
742;-1.0
743;7.0
744;14.0
745;14.0
746;29.0
747;-1.0
748;4.0
749;14.0
750;10.0
751;7.0
752;3.0
753;2.0
754;4.0
755;14.0
756;10.0
757;1.0
