Episode;Total_Rewards
0;200.0
1;200.0
2;200.0
3;200.0
4;175.0
5;169.0
6;200.0
7;146.0
8;200.0
9;135.0
10;200.0
11;166.0
12;126.0
13;200.0
14;200.0
15;150.0
16;200.0
17;170.0
18;172.0
19;200.0
20;200.0
21;200.0
22;141.0
23;200.0
24;155.0
25;136.0
26;200.0
27;134.0
28;200.0
29;145.0
30;143.0
31;131.0
32;127.0
33;200.0
34;200.0
35;156.0
36;200.0
37;200.0
38;125.0
39;145.0
40;200.0
41;142.0
42;161.0
43;127.0
44;133.0
45;139.0
46;200.0
47;200.0
48;200.0
49;200.0
